drug1,drug2,cell line,drugname1,drugname2
256439,743414,BT-549,Idarubicin hydrochloride,Imatinib mesylate
608210,743414,BT-549,Vinorelbine tartrate,Imatinib mesylate
6396,743414,BT-549,Thiotepa,Imatinib mesylate
752,743414,BT-549,Thioguanine,Imatinib mesylate
698037,743414,BT-549,Pemetrexed Disodium,Imatinib mesylate
45388,743414,BT-549,Dacarbazine,Imatinib mesylate
38721,743414,BT-549,Mitotane,Imatinib mesylate
673596,743414,BT-549,7-Ethyl-10-hydroxycamptothecin,Imatinib mesylate
737754,743414,BT-549,Pazopanib hydrochloride,Imatinib mesylate
707389,743414,BT-549,Eribulin mesylate,Imatinib mesylate
138783,743414,BT-549,Bendamustine hydrochloride,Imatinib mesylate
32065,701852,BT-549,Hydroxyurea,Vorinostat
45923,701852,BT-549,Methoxsalen,Vorinostat
362856,701852,BT-549,Temozolomide,Vorinostat
122819,701852,BT-549,Teniposide,Vorinostat
66847,701852,BT-549,Thalidomide,Vorinostat
82151,701852,BT-549,Daunorubicin hydrochloride,Vorinostat
123127,701852,BT-549,Doxorubicin hydrochloride,Vorinostat
125973,701852,BT-549,Paclitaxel,Vorinostat
141540,701852,BT-549,Etoposide,Vorinostat
740,701852,BT-549,Methotrexate,Vorinostat
628503,701852,BT-549,Docetaxel,Vorinostat
681239,701852,BT-549,Bortezomib,Vorinostat
241240,701852,BT-549,Carboplatin,Vorinostat
122758,701852,BT-549,Tretinoin,Vorinostat
3053,701852,BT-549,Dactinomycin,Vorinostat
180973,701852,BT-549,Tamoxifen citrate,Vorinostat
226080,701852,BT-549,Sirolimus,Vorinostat
67574,701852,BT-549,Vincristine sulfate,Vorinostat
71423,701852,BT-549,Megestrol acetate,Vorinostat
3088,701852,BT-549,Chlorambucil,Vorinostat
26271,701852,BT-549,Cyclophosphamide,Vorinostat
14229,701852,BT-549,Quinacrine hydrochloride,Vorinostat
613327,701852,BT-549,Gemcitabine hydrochloride,Vorinostat
102816,701852,BT-549,Azacitidine,Vorinostat
279836,701852,BT-549,Mitoxantrone,Vorinostat
63878,701852,BT-549,Cytarabine hydrochloride,Vorinostat
409962,701852,BT-549,Carmustine,Vorinostat
266046,701852,BT-549,Oxaliplatin,Vorinostat
1390,701852,BT-549,Allopurinol,Vorinostat
125066,701852,BT-549,Bleomycin sulfate,Vorinostat
256942,701852,BT-549,4'-Epiadriamycin,Vorinostat
27640,701852,BT-549,Floxuridine,Vorinostat
49842,701852,BT-549,Vinblastine sulfate,Vorinostat
109724,701852,BT-549,Ifosfamide,Vorinostat
609699,701852,BT-549,Topotecan hydrochloride,Vorinostat
750,701852,BT-549,Busulfan,Vorinostat
119875,701852,BT-549,Cisplatin,Vorinostat
85998,701852,BT-549,Streptozocin,Vorinostat
8806,701852,BT-549,Melphalan,Vorinostat
92859,701852,BT-549,Arsenic trioxide,Vorinostat
755,701852,BT-549,Mercaptopurine,Vorinostat
19893,701852,BT-549,Fluorouracil,Vorinostat
105014,701852,BT-549,Cladribine,Vorinostat
26980,701852,BT-549,Mitomycin,Vorinostat
118218,701852,BT-549,Fludarabine,Vorinostat
127716,701852,BT-549,Decitabine,Vorinostat
606869,701852,BT-549,Clofarabine,Vorinostat
256439,701852,BT-549,Idarubicin hydrochloride,Vorinostat
608210,701852,BT-549,Vinorelbine tartrate,Vorinostat
6396,701852,BT-549,Thiotepa,Vorinostat
752,701852,BT-549,Thioguanine,Vorinostat
698037,701852,BT-549,Pemetrexed Disodium,Vorinostat
45388,701852,BT-549,Dacarbazine,Vorinostat
38721,701852,BT-549,Mitotane,Vorinostat
673596,701852,BT-549,7-Ethyl-10-hydroxycamptothecin,Vorinostat
138783,701852,BT-549,Bendamustine hydrochloride,Vorinostat
32065,362856,BT-549,Hydroxyurea,Temozolomide
45923,362856,BT-549,Methoxsalen,Temozolomide
122819,362856,BT-549,Teniposide,Temozolomide
66847,362856,BT-549,Thalidomide,Temozolomide
82151,362856,BT-549,Daunorubicin hydrochloride,Temozolomide
123127,362856,BT-549,Doxorubicin hydrochloride,Temozolomide
125973,362856,BT-549,Paclitaxel,Temozolomide
141540,362856,BT-549,Etoposide,Temozolomide
740,362856,BT-549,Methotrexate,Temozolomide
241240,362856,BT-549,Carboplatin,Temozolomide
122758,362856,BT-549,Tretinoin,Temozolomide
3053,362856,BT-549,Dactinomycin,Temozolomide
180973,362856,BT-549,Tamoxifen citrate,Temozolomide
226080,362856,BT-549,Sirolimus,Temozolomide
67574,362856,BT-549,Vincristine sulfate,Temozolomide
71423,362856,BT-549,Megestrol acetate,Temozolomide
3088,362856,BT-549,Chlorambucil,Temozolomide
26271,362856,BT-549,Cyclophosphamide,Temozolomide
14229,362856,BT-549,Quinacrine hydrochloride,Temozolomide
102816,362856,BT-549,Azacitidine,Temozolomide
279836,362856,BT-549,Mitoxantrone,Temozolomide
63878,362856,BT-549,Cytarabine hydrochloride,Temozolomide
266046,362856,BT-549,Oxaliplatin,Temozolomide
1390,362856,BT-549,Allopurinol,Temozolomide
125066,362856,BT-549,Bleomycin sulfate,Temozolomide
256942,362856,BT-549,4'-Epiadriamycin,Temozolomide
27640,362856,BT-549,Floxuridine,Temozolomide
49842,362856,BT-549,Vinblastine sulfate,Temozolomide
109724,362856,BT-549,Ifosfamide,Temozolomide
750,362856,BT-549,Busulfan,Temozolomide
119875,362856,BT-549,Cisplatin,Temozolomide
85998,362856,BT-549,Streptozocin,Temozolomide
8806,362856,BT-549,Melphalan,Temozolomide
92859,362856,BT-549,Arsenic trioxide,Temozolomide
755,362856,BT-549,Mercaptopurine,Temozolomide
19893,362856,BT-549,Fluorouracil,Temozolomide
105014,362856,BT-549,Cladribine,Temozolomide
26980,362856,BT-549,Mitomycin,Temozolomide
118218,362856,BT-549,Fludarabine,Temozolomide
127716,362856,BT-549,Decitabine,Temozolomide
256439,362856,BT-549,Idarubicin hydrochloride,Temozolomide
6396,362856,BT-549,Thiotepa,Temozolomide
752,362856,BT-549,Thioguanine,Temozolomide
45388,362856,BT-549,Dacarbazine,Temozolomide
38721,362856,BT-549,Mitotane,Temozolomide
138783,362856,BT-549,Bendamustine hydrochloride,Temozolomide
32065,122819,BT-549,Hydroxyurea,Teniposide
45923,122819,BT-549,Methoxsalen,Teniposide
66847,122819,BT-549,Thalidomide,Teniposide
82151,122819,BT-549,Daunorubicin hydrochloride,Teniposide
740,122819,BT-549,Methotrexate,Teniposide
122758,122819,BT-549,Tretinoin,Teniposide
3053,122819,BT-549,Dactinomycin,Teniposide
67574,122819,BT-549,Vincristine sulfate,Teniposide
71423,122819,BT-549,Megestrol acetate,Teniposide
3088,122819,BT-549,Chlorambucil,Teniposide
26271,122819,BT-549,Cyclophosphamide,Teniposide
14229,122819,BT-549,Quinacrine hydrochloride,Teniposide
102816,122819,BT-549,Azacitidine,Teniposide
63878,122819,BT-549,Cytarabine hydrochloride,Teniposide
1390,122819,BT-549,Allopurinol,Teniposide
27640,122819,BT-549,Floxuridine,Teniposide
49842,122819,BT-549,Vinblastine sulfate,Teniposide
109724,122819,BT-549,Ifosfamide,Teniposide
750,122819,BT-549,Busulfan,Teniposide
119875,122819,BT-549,Cisplatin,Teniposide
85998,122819,BT-549,Streptozocin,Teniposide
8806,122819,BT-549,Melphalan,Teniposide
92859,122819,BT-549,Arsenic trioxide,Teniposide
755,122819,BT-549,Mercaptopurine,Teniposide
19893,122819,BT-549,Fluorouracil,Teniposide
105014,122819,BT-549,Cladribine,Teniposide
26980,122819,BT-549,Mitomycin,Teniposide
118218,122819,BT-549,Fludarabine,Teniposide
6396,122819,BT-549,Thiotepa,Teniposide
752,122819,BT-549,Thioguanine,Teniposide
45388,122819,BT-549,Dacarbazine,Teniposide
38721,122819,BT-549,Mitotane,Teniposide
32065,66847,BT-549,Hydroxyurea,Thalidomide
45923,66847,BT-549,Methoxsalen,Thalidomide
740,66847,BT-549,Methotrexate,Thalidomide
3053,66847,BT-549,Dactinomycin,Thalidomide
3088,66847,BT-549,Chlorambucil,Thalidomide
26271,66847,BT-549,Cyclophosphamide,Thalidomide
14229,66847,BT-549,Quinacrine hydrochloride,Thalidomide
63878,66847,BT-549,Cytarabine hydrochloride,Thalidomide
1390,66847,BT-549,Allopurinol,Thalidomide
27640,66847,BT-549,Floxuridine,Thalidomide
49842,66847,BT-549,Vinblastine sulfate,Thalidomide
750,66847,BT-549,Busulfan,Thalidomide
8806,66847,BT-549,Melphalan,Thalidomide
755,66847,BT-549,Mercaptopurine,Thalidomide
19893,66847,BT-549,Fluorouracil,Thalidomide
26980,66847,BT-549,Mitomycin,Thalidomide
6396,66847,BT-549,Thiotepa,Thalidomide
752,66847,BT-549,Thioguanine,Thalidomide
45388,66847,BT-549,Dacarbazine,Thalidomide
38721,66847,BT-549,Mitotane,Thalidomide
32065,82151,BT-549,Hydroxyurea,Daunorubicin hydrochloride
45923,82151,BT-549,Methoxsalen,Daunorubicin hydrochloride
66847,82151,BT-549,Thalidomide,Daunorubicin hydrochloride
740,82151,BT-549,Methotrexate,Daunorubicin hydrochloride
3053,82151,BT-549,Dactinomycin,Daunorubicin hydrochloride
67574,82151,BT-549,Vincristine sulfate,Daunorubicin hydrochloride
71423,82151,BT-549,Megestrol acetate,Daunorubicin hydrochloride
3088,82151,BT-549,Chlorambucil,Daunorubicin hydrochloride
26271,82151,BT-549,Cyclophosphamide,Daunorubicin hydrochloride
14229,82151,BT-549,Quinacrine hydrochloride,Daunorubicin hydrochloride
63878,82151,BT-549,Cytarabine hydrochloride,Daunorubicin hydrochloride
1390,82151,BT-549,Allopurinol,Daunorubicin hydrochloride
27640,82151,BT-549,Floxuridine,Daunorubicin hydrochloride
49842,82151,BT-549,Vinblastine sulfate,Daunorubicin hydrochloride
750,82151,BT-549,Busulfan,Daunorubicin hydrochloride
8806,82151,BT-549,Melphalan,Daunorubicin hydrochloride
755,82151,BT-549,Mercaptopurine,Daunorubicin hydrochloride
19893,82151,BT-549,Fluorouracil,Daunorubicin hydrochloride
26980,82151,BT-549,Mitomycin,Daunorubicin hydrochloride
6396,82151,BT-549,Thiotepa,Daunorubicin hydrochloride
752,82151,BT-549,Thioguanine,Daunorubicin hydrochloride
45388,82151,BT-549,Dacarbazine,Daunorubicin hydrochloride
38721,82151,BT-549,Mitotane,Daunorubicin hydrochloride
32065,123127,BT-549,Hydroxyurea,Doxorubicin hydrochloride
45923,123127,BT-549,Methoxsalen,Doxorubicin hydrochloride
122819,123127,BT-549,Teniposide,Doxorubicin hydrochloride
66847,123127,BT-549,Thalidomide,Doxorubicin hydrochloride
82151,123127,BT-549,Daunorubicin hydrochloride,Doxorubicin hydrochloride
740,123127,BT-549,Methotrexate,Doxorubicin hydrochloride
122758,123127,BT-549,Tretinoin,Doxorubicin hydrochloride
3053,123127,BT-549,Dactinomycin,Doxorubicin hydrochloride
67574,123127,BT-549,Vincristine sulfate,Doxorubicin hydrochloride
71423,123127,BT-549,Megestrol acetate,Doxorubicin hydrochloride
3088,123127,BT-549,Chlorambucil,Doxorubicin hydrochloride
26271,123127,BT-549,Cyclophosphamide,Doxorubicin hydrochloride
14229,123127,BT-549,Quinacrine hydrochloride,Doxorubicin hydrochloride
102816,123127,BT-549,Azacitidine,Doxorubicin hydrochloride
63878,123127,BT-549,Cytarabine hydrochloride,Doxorubicin hydrochloride
1390,123127,BT-549,Allopurinol,Doxorubicin hydrochloride
27640,123127,BT-549,Floxuridine,Doxorubicin hydrochloride
49842,123127,BT-549,Vinblastine sulfate,Doxorubicin hydrochloride
109724,123127,BT-549,Ifosfamide,Doxorubicin hydrochloride
750,123127,BT-549,Busulfan,Doxorubicin hydrochloride
119875,123127,BT-549,Cisplatin,Doxorubicin hydrochloride
85998,123127,BT-549,Streptozocin,Doxorubicin hydrochloride
8806,123127,BT-549,Melphalan,Doxorubicin hydrochloride
92859,123127,BT-549,Arsenic trioxide,Doxorubicin hydrochloride
755,123127,BT-549,Mercaptopurine,Doxorubicin hydrochloride
19893,123127,BT-549,Fluorouracil,Doxorubicin hydrochloride
105014,123127,BT-549,Cladribine,Doxorubicin hydrochloride
26980,123127,BT-549,Mitomycin,Doxorubicin hydrochloride
118218,123127,BT-549,Fludarabine,Doxorubicin hydrochloride
6396,123127,BT-549,Thiotepa,Doxorubicin hydrochloride
752,123127,BT-549,Thioguanine,Doxorubicin hydrochloride
45388,123127,BT-549,Dacarbazine,Doxorubicin hydrochloride
38721,123127,BT-549,Mitotane,Doxorubicin hydrochloride
32065,125973,BT-549,Hydroxyurea,Paclitaxel
45923,125973,BT-549,Methoxsalen,Paclitaxel
122819,125973,BT-549,Teniposide,Paclitaxel
66847,125973,BT-549,Thalidomide,Paclitaxel
82151,125973,BT-549,Daunorubicin hydrochloride,Paclitaxel
123127,125973,BT-549,Doxorubicin hydrochloride,Paclitaxel
740,125973,BT-549,Methotrexate,Paclitaxel
122758,125973,BT-549,Tretinoin,Paclitaxel
3053,125973,BT-549,Dactinomycin,Paclitaxel
67574,125973,BT-549,Vincristine sulfate,Paclitaxel
71423,125973,BT-549,Megestrol acetate,Paclitaxel
3088,125973,BT-549,Chlorambucil,Paclitaxel
26271,125973,BT-549,Cyclophosphamide,Paclitaxel
14229,125973,BT-549,Quinacrine hydrochloride,Paclitaxel
102816,125973,BT-549,Azacitidine,Paclitaxel
63878,125973,BT-549,Cytarabine hydrochloride,Paclitaxel
1390,125973,BT-549,Allopurinol,Paclitaxel
125066,125973,BT-549,Bleomycin sulfate,Paclitaxel
27640,125973,BT-549,Floxuridine,Paclitaxel
49842,125973,BT-549,Vinblastine sulfate,Paclitaxel
109724,125973,BT-549,Ifosfamide,Paclitaxel
750,125973,BT-549,Busulfan,Paclitaxel
119875,125973,BT-549,Cisplatin,Paclitaxel
85998,125973,BT-549,Streptozocin,Paclitaxel
8806,125973,BT-549,Melphalan,Paclitaxel
92859,125973,BT-549,Arsenic trioxide,Paclitaxel
755,125973,BT-549,Mercaptopurine,Paclitaxel
19893,125973,BT-549,Fluorouracil,Paclitaxel
105014,125973,BT-549,Cladribine,Paclitaxel
26980,125973,BT-549,Mitomycin,Paclitaxel
118218,125973,BT-549,Fludarabine,Paclitaxel
6396,125973,BT-549,Thiotepa,Paclitaxel
752,125973,BT-549,Thioguanine,Paclitaxel
