Drug,GENE
Chlorambucil,BRCA2
Doxorubicin hydrochloride,BCL2
Vincristine sulfate,CDKN1B
Streptozocin,CD40
Sorafenib tosylate,NTRK3
Tretinoin,FUS
Cisplatin,MDH2
Cyclophosphamide,NTF3
Methoxsalen,TAC1
Streptozocin,BCL2
Everolimus,ATM
Dactinomycin,PIK3CB
Dactinomycin,TFPI
Doxorubicin hydrochloride,KMT2A
Paclitaxel,ATM
Lapatinib ditosylate,HLA-DRB1
Vincristine sulfate,ODC1
Oxaliplatin,CXCL10
Bortezomib,SEM1
Gemcitabine hydrochloride,CDA
Paclitaxel,BRCA2
Doxorubicin hydrochloride,KRT20
Daunorubicin hydrochloride,POLH
Paclitaxel,TUBA1A
Vincristine sulfate,TUBB
Letrozole,MMP2
Mitomycin,CYP2D6
Vincristine sulfate,TUBA1C
Vincristine sulfate,BCR
Bortezomib,CTSL
Paclitaxel,EIF4EBP1
Daunorubicin hydrochloride,ABCB1
Streptozocin,ATF2
Vinblastine sulfate,CDKN1A
Etoposide,BTF3P11
Quinacrine hydrochloride,HBB
Vinblastine sulfate,KLK3
Etoposide,CHEK1
Quinacrine hydrochloride,FEN1
Mercaptopurine,CYP2C9
Tamoxifen citrate,THPO
Everolimus,ESR1
Erlotinib hydrochloride,FRK
Methotrexate,FCGR3B
Vorinostat,TUBB2B
Doxorubicin hydrochloride,FASN
Sorafenib tosylate,VEGFC
Tamoxifen citrate,HSPB2
Etoposide,E2F1
Thioguanine,TPMT
Sirolimus,KRAS
Sirolimus,DDC
Doxorubicin hydrochloride,CYP3A4
Sirolimus,EGFR
Everolimus,MPL
Thioguanine,MGMT
Vinorelbine tartrate,APC
Methotrexate,NTRK1
Paclitaxel,MYB
Erlotinib hydrochloride,KRAS
Carboplatin,GCLC
Vincristine sulfate,MYCN
Fluorouracil,MET
Doxorubicin hydrochloride,SRC
Busulfan,ADK
Vinblastine sulfate,TUBA1B
Sorafenib tosylate,SRPK1
Allopurinol,CYP2C19
Imatinib mesylate,SLC2A4
Fludarabine,DCK
Paclitaxel,MMP2
4'-Epiadriamycin,BCL2
Idarubicin hydrochloride,ATXN2
Bortezomib,PSMA6
Imatinib mesylate,ETV6
Bortezomib,PSMB6
Doxorubicin hydrochloride,BRAF
Tretinoin,CD55
Paclitaxel,TOP2A
Fluorouracil,E2F1
Tamoxifen citrate,NTRK1
Arsenic trioxide,MAPK3
Ixabepilone,TUBB1
Sirolimus,MAPK10
Raloxifene hydrochloride,GNRH1
Erlotinib hydrochloride,BIRC5
Topotecan hydrochloride,RB1
Mitomycin,CYP2C9
Gefitinib,IRAK4
Vandetanib,BTK
Sorafenib tosylate,ERBB2
Dasatinib,MAP3K10
Tamoxifen citrate,CYP1A2
Doxorubicin hydrochloride,H2AX
Daunorubicin hydrochloride,FAS
Vincristine sulfate,FGF2
Cytarabine hydrochloride,ITGAV
Daunorubicin hydrochloride,RPSA
Megestrol acetate,KLK3
Floxuridine,CYP2D6
Mitoxantrone,TP53
Melphalan,ABCC1
Imatinib mesylate,CDKN2A
Cladribine,YES1
Gefitinib,LCK
Lenalidomide,TNFSF11
Erlotinib hydrochloride,CBL
Sunitinib,VHL
Vinorelbine tartrate,CSF2
Cisplatin,ERCC2
Methotrexate,MPHOSPH8
Arsenic trioxide,CDKN1A
Mitomycin,TYMS
Ruxolitinib,CSF3R
Temozolomide,PRL
Raloxifene hydrochloride,PRL
Gefitinib,MAP4K4
Tretinoin,HOXB1
Fludarabine,XIAP
Cisplatin,AQP9
Vemurafenib,NRAS
Cyclophosphamide,ACTB
Gemcitabine hydrochloride,PIK3CA
Gefitinib,FGFR1
Mitoxantrone,POLH
Streptozocin,NTRK1
Ifosfamide,TERC
Raloxifene hydrochloride,GBA
Ixabepilone,PGR
Arsenic trioxide,JUN
Romidepsin,CDKN2D
Mercaptopurine,NFE2L2
Etoposide,NCOA3
Tretinoin,KAT2A
Hydroxyurea,CYP3A4
Cyclophosphamide,CYP1A2
Cisplatin,GSTP1
Hydroxyurea,EIF4E
Quinacrine hydrochloride,NPSR1
Letrozole,ERBB2
Thioguanine,NFE2L2
Megestrol acetate,ABCB1
Doxorubicin hydrochloride,NR1H4
Methotrexate,CYP1A2
Nilotinib,KRAS
Gefitinib,NRAS
Vandetanib,MAP4K5
Gefitinib,CHEK2
Exemestane,BGLAP
Bortezomib,CTSB
Melphalan,RORC
Tamoxifen citrate,F5
Methotrexate,CYP2D6
Etoposide,MAPK1
Thioguanine,GGH
Etoposide,TNFSF13B
Azacitidine,IDH1
Vinblastine sulfate,PTHLH
Tretinoin,HAS3
Gefitinib,SMO
Carboplatin,USP1
Etoposide,DDIT3
Sirolimus,PRKAA1
Cisplatin,E2F1
Chlorambucil,BAZ2B
Chlorambucil,BRCA1
Cisplatin,RECQL
Thioguanine,ABCC4
Cytarabine hydrochloride,FCGR3A
Vorinostat,NR0B1
Doxorubicin hydrochloride,PIK3CG
Docetaxel,KRAS
Carmustine,CYP3A4
Topotecan hydrochloride,USP1
Gefitinib,SIK2
Idarubicin hydrochloride,PPARD
Thiotepa,AR
Sunitinib,ERBB2
Romidepsin,CDKN1A
Fulvestrant,PGR
Imatinib mesylate,RUNX1
Idarubicin hydrochloride,POLI
Tretinoin,ADH1C
Erlotinib hydrochloride,LYN
Ruxolitinib,JAK1
Streptozocin,SLC2A4
Etoposide,TP53
Vandetanib,ATM
Bortezomib,PRSS2
Mitoxantrone,CYP3A4
Sorafenib tosylate,PTEN
Temozolomide,NOTCH1
Gemcitabine hydrochloride,SRC
Ifosfamide,HSPA4
Raloxifene hydrochloride,PLAT
Daunorubicin hydrochloride,S100A4
Sorafenib tosylate,NTSR1
Mercaptopurine,ALDH1A1
Methotrexate,ADA
Streptozocin,CYP7B1
Streptozocin,CDKN1B
Sorafenib tosylate,BLK
Carboplatin,VDR
Vincristine sulfate,TUBA3D
Docetaxel,TUBB1
Everolimus,AKT2
Topotecan hydrochloride,PAX8
Dasatinib,IRAK4
Vinblastine sulfate,TBXA2R
Thalidomide,CTLA4
Etoposide,SLC2A4
Azacitidine,AFP
Mitoxantrone,FEN1
Dacarbazine,CXCL8
Mitoxantrone,RECQL
Sorafenib tosylate,NFE2L2
Mitoxantrone,ARSA
Methotrexate,EHMT2
Doxorubicin hydrochloride,USP1
Vorinostat,PTEN
Etoposide,BCL2
Imatinib mesylate,PVT1
Mitoxantrone,ATAD5
Streptozocin,VWF
Fulvestrant,ERBB2
Vorinostat,TUBA1A
Doxorubicin hydrochloride,PPM1D
Daunorubicin hydrochloride,BAZ2B
Vinblastine sulfate,TUBB1
Vincristine sulfate,TOP2A
Carboplatin,BRCA2
Gefitinib,PLAU
Etoposide,ACTR2
Dactinomycin,ALOX15
Capecitabine,CDH1
Carboplatin,PIK3CA
Tretinoin,TSPYL2
Daunorubicin hydrochloride,HTT
Doxorubicin hydrochloride,FCGR3B
Lapatinib ditosylate,MET
Bortezomib,FGFR3
Paclitaxel,BDNF
Mitomycin,CYP2C19
Raloxifene hydrochloride,HSD17B10
Vorinostat,NPM1
Mitomycin,LGALS2
Letrozole,CYP3A4
Vincristine sulfate,PIK3CG
Etoposide,TGFB1
Vincristine sulfate,TUBA1B
Sirolimus,APC
Doxorubicin hydrochloride,MAPK1
Oxaliplatin,BCL2
Sirolimus,IL17A
Streptozocin,SI
Cyclophosphamide,GSTP1
Paclitaxel,TUBB8
Bortezomib,NFKB1
Dasatinib,ERBB4
Tretinoin,SFTPA1
Cisplatin,MT1F
Tamoxifen citrate,F2
Raloxifene hydrochloride,IDH1
Tamoxifen citrate,ALDH1A1
Fluorouracil,PTPRC
Bortezomib,PSMB11
Vincristine sulfate,PIK3CA
Vinblastine sulfate,TUBA3E
Streptozocin,SULT1A2
Cisplatin,FXN
Sirolimus,FGFR1
Celecoxib,COL18A1
Dasatinib,GMNN
Lenalidomide,VEGFC
Gefitinib,YES1
Fluorouracil,KRAS
Dasatinib,HCK
Mitoxantrone,THPO
Cisplatin,ANPEP
Busulfan,SHBG
Zoledronic acid,PLAU
Busulfan,CYP2D6
Streptozocin,OGA
Tamoxifen citrate,CCND1
Bortezomib,PSMF1
Paclitaxel,NOTCH1
Chlorambucil,NFKB1
Vincristine sulfate,TUBB3
Doxorubicin hydrochloride,CKM
Vinorelbine tartrate,BRCA2
Thioguanine,AR
Sirolimus,IL15
Quinacrine hydrochloride,RGS4
Cisplatin,FGFR1
Vinblastine sulfate,TUBB8
Hydroxyurea,ABL1
Fludarabine,NFE2L2
Tretinoin,BAX
Cisplatin,GRP
Floxuridine,PIK3CA
Mitoxantrone,CBX1
Dacarbazine,CYP1A2
Everolimus,GNA11
Bortezomib,PSMD4
Mitoxantrone,POLK
Paclitaxel,CYP3A5
Carboplatin,BRCA1
Sirolimus,RPS6KB1
Mitoxantrone,BAX
Busulfan,CYP2C9
Daunorubicin hydrochloride,HDAC2
Carmustine,CYP2D6
Erlotinib hydrochloride,SYK
Celecoxib,NFE2L2
Gefitinib,LIMK1
Cytarabine hydrochloride,KDM4E
Dasatinib,IDH1
Bortezomib,AR
Topotecan hydrochloride,AR
Topotecan hydrochloride,KMT2A
Paclitaxel,CXCL8
Raloxifene hydrochloride,MPHOSPH8
Daunorubicin hydrochloride,HDAC5
Tretinoin,RET
Etoposide,PAPOLA
Floxuridine,FAS
Erlotinib hydrochloride,CYP2D6
Exemestane,CYP1B1
Streptozocin,RAMP3
Arsenic trioxide,SMO
Erlotinib hydrochloride,SLK
Tretinoin,CYP2C9
Bortezomib,PIPSL
Dactinomycin,THRB
Dasatinib,KRAS
Vandetanib,AURKB
Doxorubicin hydrochloride,AGT
Cisplatin,ERBB2
Etoposide,CYP3A4
Bortezomib,PSMD10P1
Busulfan,GSTP1
Methotrexate,SLAMF1
Vorinostat,TUBB4A
Erlotinib hydrochloride,APC
Methotrexate,E2F1
Methotrexate,POLB
Imatinib mesylate,IRAK1
Tretinoin,TBP
Vandetanib,LCK
Dasatinib,JAK2
Tamoxifen citrate,VDR
Bortezomib,F2
Vincristine sulfate,ABL1
Tretinoin,WT1
Gefitinib,PTEN
Paclitaxel,TUBA1C
Cisplatin,HEXB
Raloxifene hydrochloride,THPO
Idarubicin hydrochloride,POLH
Vorinostat,TUBB4B
Idarubicin hydrochloride,IDH1
Tretinoin,VDR
Tretinoin,SMARCA4
Methotrexate,APEX1
Quinacrine hydrochloride,RECQL
Cyclophosphamide,CYP2D6
Etoposide,NR4A1
Topotecan hydrochloride,TP53
Dactinomycin,EHMT2
Arsenic trioxide,BIRC5
Doxorubicin hydrochloride,EZH2
Cisplatin,APEX1
Vincristine sulfate,TYMS
Arsenic trioxide,FGFR1
Floxuridine,CYP2C9
Vincristine sulfate,TUBA1A
Dasatinib,MAP4K5
Mitomycin,CYP3A4
Paclitaxel,TUBA3E
Vincristine sulfate,SRI
Mitoxantrone,DNMT1
Vorinostat,PAX8
Vincristine sulfate,AR
Fluorouracil,CDKN1A
Vorinostat,BIRC5
Allopurinol,CYP1A2
Celecoxib,BGLAP
Gefitinib,AXL
Fluorouracil,IL6R
Cyclophosphamide,BAX
Bortezomib,GATA2
Tretinoin,RARRES1
Docetaxel,NOTCH1
Mercaptopurine,SLC29A2
Arsenic trioxide,IKBKB
Vandetanib,AXL
Tamoxifen citrate,BGLAP
Quinacrine hydrochloride,DRD1
Cisplatin,TOP1
Paclitaxel,TUBB2A
Vinblastine sulfate,TUBB3
Dasatinib,FES
Everolimus,AR
Tretinoin,FLT3
Methotrexate,CYP2C9
Vinblastine sulfate,TRH
Oxaliplatin,ATP7B
Vorinostat,TUBB6
Tamoxifen citrate,MUC16
Dacarbazine,BAX
Celecoxib,PDPK1
Paclitaxel,JAK2
Tamoxifen citrate,CYP3A4
Cyclophosphamide,CBX1
Fulvestrant,FGF2
Everolimus,KRAS
Tretinoin,XIAP
Decitabine,GMNN
Fluorouracil,ERCC1
Vemurafenib,PIK3CA
Dasatinib,TAOK1
Celecoxib,ABL1
Tamoxifen citrate,PIP
Cisplatin,CDH17
Capecitabine,PIK3CA
Thioguanine,TPM3
Carboplatin,MET
Cisplatin,CBX1
Everolimus,PIK3CA
Vorinostat,TUBB2A
Daunorubicin hydrochloride,ABCC1
Daunorubicin hydrochloride,BRCA1
Fluorouracil,CBLB
Celecoxib,HSPA4
Dacarbazine,CYP2D6
Erlotinib hydrochloride,FLT1
Methotrexate,ALOX5
Arsenic trioxide,TXNRD2
Oxaliplatin,ERBB2
Methotrexate,IL2
Gefitinib,EMP1
Tretinoin,NR2C1
Carboplatin,HSD17B10
Sorafenib tosylate,TAOK1
Paclitaxel,E2F1
Imatinib mesylate,TAOK1
Doxorubicin hydrochloride,XIAP
Sirolimus,DCN
Celecoxib,PLAU
Exemestane,AR
Paclitaxel,CDK2
Methotrexate,ICAM3
Lapatinib ditosylate,CYP3A4
Oxaliplatin,DPYD
Dasatinib,SYK
Dasatinib,MAP3K20
Dactinomycin,HTT
Gemcitabine hydrochloride,TGM2
Vincristine sulfate,TUBB4A
Thioguanine,GDA
Cladribine,DCK
Dacarbazine,CYP2C19
Raloxifene hydrochloride,PTGS2
Methotrexate,NFE2L2
Imatinib mesylate,BIRC5
Exemestane,ERBB2
Cladribine,DIABLO
Daunorubicin hydrochloride,VDR
Doxorubicin hydrochloride,GGT1
Arsenic trioxide,FLT3
Cisplatin,H2AW
Doxorubicin hydrochloride,CYP2C9
Cisplatin,BAX
Doxorubicin hydrochloride,AR
Cladribine,NFE2L2
Doxorubicin hydrochloride,NTRK2
Sirolimus,MMP1
Cyclophosphamide,TOP1
Streptozocin,GALP
Cisplatin,KAT2A
Melphalan,ABL1
Vemurafenib,STAG2
Imatinib mesylate,SMAD4
Vorinostat,CFTR
Cisplatin,MAPT
Bortezomib,NFE2L2
Sorafenib tosylate,NRAS
Gefitinib,BRSK1
Axitinib,YES1
Thalidomide,ITGB2
Doxorubicin hydrochloride,RECQL
Methotrexate,IL1RN
Vincristine sulfate,TUBB6
Doxorubicin hydrochloride,APEX1
Doxorubicin hydrochloride,IL11
Ixabepilone,ERBB2
Sorafenib tosylate,KRAS
Bortezomib,DDIT3
Methotrexate,POLI
Dactinomycin,CYP2D6
Tretinoin,BHLHE40
Dactinomycin,BIRC5
Methoxsalen,FEN1
Etoposide,HSPB2
Azacitidine,NR3C1
Cytarabine hydrochloride,CDA
Mitoxantrone,BRCA1
Tretinoin,ALDH1A2
Tamoxifen citrate,NRG1
Dasatinib,ERBB2
Daunorubicin hydrochloride,CBFB
Ixabepilone,ESR1
Vorinostat,TUBA3C
Methotrexate,FLT3
Vismodegib,SHH
Dactinomycin,CD5
Crizotinib,KRAS
Mitotane,ATM
Arsenic trioxide,CCND1
Mercaptopurine,MTHFR
Daunorubicin hydrochloride,APP
Mercaptopurine,TDP1
Mitoxantrone,UGT1A5
Busulfan,BCR
Erlotinib hydrochloride,DDR2
Fluorouracil,TSHB
Azacitidine,ABL1
Letrozole,CYP1B1
Docetaxel,ERBB2
Dasatinib,AR
Mitoxantrone,RGS4
Bortezomib,E2F1
Cisplatin,TP73
Everolimus,BRCA1
Sirolimus,ITGAL
Cytarabine hydrochloride,RUNX1
Allopurinol,CYP3A4
Carmustine,ALDH1A1
Daunorubicin hydrochloride,POLI
Lapatinib ditosylate,ESR1
Bortezomib,PIK3CA
Teniposide,BCL2
Chlorambucil,RORC
Fluorouracil,ERBB2
Doxorubicin hydrochloride,BAZ2B
Dactinomycin,NR3C1
Decitabine,ASXL1
Fluorouracil,BIRC5
Etoposide,MUC16
Tretinoin,TGFBR3
Tamoxifen citrate,GAPDH
Etoposide,TBP
Crizotinib,SRC
Fludarabine,SLC29A1
Gemcitabine hydrochloride,CDKN2A
Anastrozole,PGR
Lenalidomide,VEGFB
Tretinoin,KLK3
4'-Epiadriamycin,SERPINE1
Clofarabine,FLT3
Fluorouracil,BDNF
Docetaxel,BRD4
Methotrexate,NR3C1
Lapatinib ditosylate,CDH1
Melphalan,NR1H4
Doxorubicin hydrochloride,CYP1A1
Topotecan hydrochloride,PIK3CA
Azacitidine,RORC
Axitinib,PDGFRA
Thioguanine,IDH1
Everolimus,RB1
Bortezomib,PRSS3
Fludarabine,CD40
Vemurafenib,YES1
Cladribine,RRM1
Cladribine,RRM2
Cladribine,RRM2B
Cladribine,POLA1
Cladribine,POLE
Cladribine,POLE2
Cladribine,POLE3
Cladribine,POLE4
Cladribine,PNP
Bleomycin sulfate,LIG3
Megestrol acetate,PGR
Megestrol acetate,NR3C1
Vinorelbine tartrate,TUBB
Streptozocin,SLC2A2
Gemcitabine hydrochloride,TYMS
Gemcitabine hydrochloride,CMPK1
Lenalidomide,CRBN
Lenalidomide,CDH5
Lenalidomide,PTGS2
Raloxifene hydrochloride,SERPINB9
Raloxifene hydrochloride,TFF1
Celecoxib,CA3
Celecoxib,CDH11
Cisplatin,MPG
Cisplatin,A2M
Cisplatin,TF
Cisplatin,ATOX1
Erlotinib hydrochloride,NR1I2
Cyclophosphamide,NR1I2
Vinblastine sulfate,TUBD1
Vinblastine sulfate,TUBG1
Vinblastine sulfate,TUBE1
Mitotane,FDX1
Mitotane,CYP11B1
Mitotane,ESR1
Mitotane,PGR
Mitotane,AR
Tamoxifen citrate,EBP
Tamoxifen citrate,PRKCA
Tamoxifen citrate,PRKCB
Tamoxifen citrate,PRKCD
Tamoxifen citrate,PRKCE
Tamoxifen citrate,PRKCG
Tamoxifen citrate,PRKCI
Tamoxifen citrate,PRKCQ
Tamoxifen citrate,PRKCZ
Tamoxifen citrate,NR1I2
Tamoxifen citrate,ESRRG
Tamoxifen citrate,SHBG
Tamoxifen citrate,MAPK8
Tretinoin,ALDH1A1
Tretinoin,GPRC5A
Tretinoin,LCN1
Tretinoin,OBP2A
Tretinoin,RBP4
Tretinoin,PDK4
Tretinoin,CYP26A1
Tretinoin,CYP26B1
Tretinoin,CYP26C1
Tretinoin,HPGDS
Dacarbazine,PGD
Dactinomycin,TOP2B
Doxorubicin hydrochloride,NOLC1
Mercaptopurine,PPAT
Mercaptopurine,IMPDH1
Mercaptopurine,IMPDH2
Thalidomide,CRBN
Thalidomide,ORM1
Thalidomide,ORM2
Quinacrine hydrochloride,PLA2G6
Quinacrine hydrochloride,PLA2G4A
Quinacrine hydrochloride,PLCL1
Arsenic trioxide,AKT1
Arsenic trioxide,HDAC1
Arsenic trioxide,PML
Ifosfamide,NR1I2
Paclitaxel,MAP4
Paclitaxel,MAP2
Paclitaxel,MAPT
Paclitaxel,NR1I2
Docetaxel,MAP2
Docetaxel,MAP4
Docetaxel,MAPT
Docetaxel,NR1I2
Dasatinib,NR4A3
Dasatinib,EPHB4
Dasatinib,FGR
Dasatinib,FRK
Dasatinib,HSPA8
Dasatinib,PPAT
Decitabine,DNMT3B
Vandetanib,VEGFA
7-Ethyl-10-hydroxycamptothecin,TOP1
Romidepsin,ABCC1
Ruxolitinib,TYK2
Bortezomib,CYP3A4
Bortezomib,CYP2C19
Bortezomib,CYP2D6
Bortezomib,CYP1A2
Bortezomib,CYP2C9
Bleomycin sulfate,BLMH
Chlorambucil,GSTP1
Mitomycin,POR
Gefitinib,CYP3A4
Gefitinib,CYP1A1
Gefitinib,CYP2C9
Gefitinib,CYP2C19
Floxuridine,TYMP
Megestrol acetate,CYP3A4
Thioguanine,HPRT1
Vinorelbine tartrate,CYP3A4
Vinorelbine tartrate,CYP2D6
Sorafenib tosylate,CYP2C9
Sorafenib tosylate,CYP3A5
Sorafenib tosylate,CYP3A7
Sorafenib tosylate,CYP3A4
Sorafenib tosylate,CYP2B6
Sorafenib tosylate,CYP2C8
Sorafenib tosylate,CYP1A2
Sorafenib tosylate,CYP2C19
Sorafenib tosylate,CYP2D6
Sorafenib tosylate,UGT1A9
Sorafenib tosylate,UGT1A1
Streptozocin,CYP1A1
Streptozocin,CYP1A2
Streptozocin,CYP2E1
Allopurinol,AOX1
Gemcitabine hydrochloride,DCK
Gemcitabine hydrochloride,TK2
Gemcitabine hydrochloride,NME1
Teniposide,CYP3A4
Teniposide,CYP2C9
Teniposide,CYP2C19
Teniposide,CYP3A5
4'-Epiadriamycin,UGT2B7
4'-Epiadriamycin,PLA2G4A
Raloxifene hydrochloride,CYP2B6
Raloxifene hydrochloride,CYP2C8
Raloxifene hydrochloride,CYP19A1
Raloxifene hydrochloride,UGT1A1
Raloxifene hydrochloride,UGT1A10
Raloxifene hydrochloride,UGT1A8
Celecoxib,CYP2D6
Celecoxib,CYP2C8
Cisplatin,MPO
Cisplatin,XDH
Cisplatin,CYP4A11
Cisplatin,PTGS2
Cisplatin,CYP2C9
Cisplatin,CYP2B6
Cisplatin,BCHE
Cisplatin,MT1A
Cisplatin,MT2A
Cisplatin,SOD1
Cisplatin,NQO1
Cisplatin,GSTM1
Oxaliplatin,MT1A
Oxaliplatin,MT2A
Oxaliplatin,MPO
Oxaliplatin,SOD1
Oxaliplatin,GSTM1
Oxaliplatin,NQO1
Erlotinib hydrochloride,CYP3A4
Erlotinib hydrochloride,CYP3A5
Erlotinib hydrochloride,CYP1A2
Erlotinib hydrochloride,CYP1A1
Erlotinib hydrochloride,CYP2C8
Erlotinib hydrochloride,CYP1B1
Erlotinib hydrochloride,UGT1A1
Cyclophosphamide,CYP2A6
Cyclophosphamide,CYP2C18
Cyclophosphamide,CYP3A5
Cyclophosphamide,CYP2C8
Vincristine sulfate,CYP3A5
Vincristine sulfate,CYP3A7
Vincristine sulfate,CYP3A4
Fluorouracil,CYP2C9
Fluorouracil,CYP1A2
Fluorouracil,UPP1
Fluorouracil,UPP2
Fluorouracil,CYP2A6
Fluorouracil,CYP2C8
Fluorouracil,MTHFR
Fluorouracil,UMPS
Fluorouracil,PPAT
Methoxsalen,CYP1A1
Methotrexate,AOX1
Methotrexate,MTHFR
Methotrexate,PGD
Methotrexate,GGH
Vinblastine sulfate,CYP3A4
Vinblastine sulfate,CYP2D6
Imatinib mesylate,CYP3A5
Imatinib mesylate,CYP3A7
Imatinib mesylate,CYP1A2
Imatinib mesylate,CYP2C9
Imatinib mesylate,CYP2D6
Imatinib mesylate,CYP2C19
Imatinib mesylate,PTGS1
Imatinib mesylate,CYP2C8
Clofarabine,DCK
Pemetrexed Disodium,DCK
Pemetrexed Disodium,SLC29A1
Mitotane,CYP3A4
Tamoxifen citrate,CYP3A5
Tamoxifen citrate,CYP3A7
Tamoxifen citrate,CYP1A1
Tamoxifen citrate,CYP1B1
Tamoxifen citrate,FMO1
Tamoxifen citrate,FMO3
Tamoxifen citrate,CYP2C8
Tamoxifen citrate,CES1
Tamoxifen citrate,CYP19A1
Tamoxifen citrate,CYP2A6
Tamoxifen citrate,CYP2E1
Tamoxifen citrate,UGT1A10
Tamoxifen citrate,SULT1A1
Tamoxifen citrate,SULT2A1
Tamoxifen citrate,UGT2B7
Tamoxifen citrate,UGT2B17
Tamoxifen citrate,SULT1E1
Daunorubicin hydrochloride,CYP3A4
Daunorubicin hydrochloride,CYP3A5
Daunorubicin hydrochloride,POR
Daunorubicin hydrochloride,CYP1B1
Daunorubicin hydrochloride,AKR1B1
Daunorubicin hydrochloride,CBR1
Daunorubicin hydrochloride,CBR3
Tretinoin,CYP3A7
Tretinoin,CYP2B6
Tretinoin,CYP2C8
Tretinoin,CYP3A4
Tretinoin,CYP3A5
Tretinoin,CYP2A6
Tretinoin,CYP2C18
Tretinoin,CYP1A1
Tretinoin,CYP4A11
Etoposide,CYP2E1
Etoposide,CYP3A5
Etoposide,UGT1A1
Etoposide,GSTP1
Etoposide,PTGS2
Etoposide,PTGS1
Dacarbazine,CYP1A1
Dacarbazine,CYP2E1
Sirolimus,CYP3A4
Sirolimus,CYP3A5
Sirolimus,CYP3A7
Azacitidine,CDA
Fulvestrant,CYP3A4
Fulvestrant,UGT1A1
Carboplatin,XDH
Carboplatin,MPO
Carboplatin,MT1A
Carboplatin,MT2A
Carboplatin,SOD1
Carboplatin,GSTM1
Carboplatin,NQO1
Exemestane,CYP3A4
Doxorubicin hydrochloride,CYP2B6
Doxorubicin hydrochloride,CYP1B1
Doxorubicin hydrochloride,CBR1
Doxorubicin hydrochloride,CBR3
Doxorubicin hydrochloride,AKR1A1
Doxorubicin hydrochloride,AKR1C3
Doxorubicin hydrochloride,NQO1
Doxorubicin hydrochloride,XDH
Doxorubicin hydrochloride,NOS1
Doxorubicin hydrochloride,NOS2
Doxorubicin hydrochloride,NOS3
Doxorubicin hydrochloride,NDUFS2
Doxorubicin hydrochloride,NDUFS3
Doxorubicin hydrochloride,NDUFS7
Doxorubicin hydrochloride,POR
Hydroxyurea,CYP2D6
Letrozole,CYP2A6
Letrozole,CYP2C19
Letrozole,UGT2B7
Busulfan,GSTA2
Busulfan,GSTA1
Busulfan,GSTM1
Busulfan,MGST2
Mercaptopurine,XDH
Mercaptopurine,AOX1
Thalidomide,CYP2C19
Thalidomide,CYP2C9
Thalidomide,PTGS1
Thalidomide,CYP3A5
Capecitabine,TYMP
Capecitabine,CES1
Capecitabine,CDA
Capecitabine,CYP2C9
Quinacrine hydrochloride,HNMT
Quinacrine hydrochloride,CYP3A5
Arsenic trioxide,CYP3A4
Ifosfamide,CYP2B6
Ifosfamide,CYP3A4
Ifosfamide,CYP3A5
Ifosfamide,CYP2C19
Ifosfamide,CYP2C9
Ifosfamide,CYP2C8
Ifosfamide,CYP2A6
Ifosfamide,CYP2C18
Ifosfamide,PTGS1
Mitoxantrone,CYP2E1
Mitoxantrone,CYP1B1
Anastrozole,CYP3A4
Anastrozole,CYP3A5
Anastrozole,CYP2C8
Anastrozole,UGT1A4
Anastrozole,UGT1A3
Anastrozole,UGT2B7
Anastrozole,CYP1A2
Anastrozole,CYP2C9
Paclitaxel,CYP3A4
Paclitaxel,CYP3A7
Paclitaxel,CYP19A1
Paclitaxel,CYP1B1
Paclitaxel,CYP2C8
Docetaxel,CYP3A4
Docetaxel,CYP3A5
Docetaxel,CYP3A7
Docetaxel,CYP1B1
Dasatinib,CYP3A4
Dasatinib,CYP1A1
Dasatinib,CYP1A2
Dasatinib,CYP1B1
Dasatinib,CYP3A5
Dasatinib,FMO3
Lapatinib ditosylate,CYP2C8
Lapatinib ditosylate,CYP2C19
Decitabine,DCK
Decitabine,CMPK1
Decitabine,NME1
Decitabine,NME2
Decitabine,CDA
Sunitinib,CYP3A5
Sunitinib,CYP3A7
Sunitinib,CYP3A4
Everolimus,CYP3A4
Everolimus,CYP2D6
Thiotepa,CYP2B6
Thiotepa,CYP3A4
Thiotepa,BCHE
Nilotinib,CYP3A4
Nilotinib,CYP2C8
Nilotinib,CYP2C9
Nilotinib,CYP2D6
Nilotinib,CYP2B6
Vandetanib,FMO1
Vandetanib,FMO3
Vandetanib,CYP3A4
7-Ethyl-10-hydroxycamptothecin,CYP3A4
Abiraterone,SULT2A1
Abiraterone,CYP2D6
Abiraterone,CYP2C8
Abiraterone,CYP1A2
Abiraterone,CYP2C19
Abiraterone,CYP2C9
Romidepsin,CYP3A4
Romidepsin,CYP3A5
Romidepsin,CYP1A1
Romidepsin,CYP2B6
Romidepsin,CYP2C19
Axitinib,CYP3A4
Axitinib,CYP3A5
Axitinib,CYP1A2
Axitinib,CYP2C19
Axitinib,UGT1A1
Cabazitaxel,CYP3A4
Cabazitaxel,CYP3A5
Cabazitaxel,CYP2C8
Vismodegib,CYP2C9
Vismodegib,CYP3A4
Vismodegib,CYP2C8
Vismodegib,CYP2C19
Crizotinib,CYP3A4
Crizotinib,CYP3A5
Crizotinib,CYP2B6
Crizotinib,CYP3A43
Crizotinib,CYP3A7
Ruxolitinib,CYP3A4
Ruxolitinib,CYP2C9
Vemurafenib,CYP1A2
Vemurafenib,CYP2D6
Vemurafenib,CYP3A4
Vemurafenib,CYP2C9
Vemurafenib,CYP2C8
Vemurafenib,CYP2B6
