drug1,drug2,cancer,cell line,score,seneitive10,cut4,drug_combination,drug1name,drug2name,depmap_id
740,752,Breast Cancer,HS 578T,0.888888889,0,0,740-752,Methotrexate,Thioguanine,ACH-000148
740,752,Breast Cancer,MCF7,-6.333333333,0,0,740-752,Methotrexate,Thioguanine,ACH-000019
740,752,Breast Cancer,MDA-MB-231,2.111111111,0,0,740-752,Methotrexate,Thioguanine,ACH-000768
740,752,Breast Cancer,MDA-MB-468,0.222222222,0,0,740-752,Methotrexate,Thioguanine,ACH-000849
740,752,Breast Cancer,T-47D,-9.888888889,0,0,740-752,Methotrexate,Thioguanine,ACH-000147
740,752,CNS Cancer,SF-268,-7.666666667,0,0,740-752,Methotrexate,Thioguanine,ACH-000655
740,752,CNS Cancer,SF-295,-7.888888889,0,0,740-752,Methotrexate,Thioguanine,ACH-000376
740,752,CNS Cancer,U251,-2.333333333,0,0,740-752,Methotrexate,Thioguanine,ACH-000232
740,752,Colon Cancer,HCT 116,-6.333333333,0,0,740-752,Methotrexate,Thioguanine,ACH-000971
740,752,Colon Cancer,HCT-15,-4.777777778,0,0,740-752,Methotrexate,Thioguanine,ACH-000997
740,752,Colon Cancer,KM12,-17.44444444,0,0,740-752,Methotrexate,Thioguanine,ACH-000969
740,752,Colon Cancer,SW-620,-6.555555556,0,0,740-752,Methotrexate,Thioguanine,ACH-000651
740,752,Leukemia,HL-60(TB),-4.555555556,0,0,740-752,Methotrexate,Thioguanine,ACH-000002
740,752,Leukemia,K-562,-6.666666667,0,0,740-752,Methotrexate,Thioguanine,ACH-000551
740,752,Leukemia,RPMI-8226,-7.222222222,0,0,740-752,Methotrexate,Thioguanine,ACH-000817
740,752,Melanoma,LOX IMVI,-7.222222222,0,0,740-752,Methotrexate,Thioguanine,ACH-000750
740,752,Melanoma,SK-MEL-2,-8.666666667,0,0,740-752,Methotrexate,Thioguanine,ACH-001190
740,752,Melanoma,SK-MEL-28,-8.444444444,0,0,740-752,Methotrexate,Thioguanine,ACH-000615
740,752,Melanoma,SK-MEL-5,2.555555556,0,0,740-752,Methotrexate,Thioguanine,ACH-000730
740,752,Melanoma,UACC-257,-3.444444444,0,0,740-752,Methotrexate,Thioguanine,ACH-000579
740,752,Melanoma,UACC-62,-10.77777778,0,0,740-752,Methotrexate,Thioguanine,ACH-000425
740,752,Non-Small Cell Lung Cancer,A549,-3.444444444,0,0,740-752,Methotrexate,Thioguanine,ACH-000681
740,752,Non-Small Cell Lung Cancer,EKVX,-23.44444444,0,0,740-752,Methotrexate,Thioguanine,ACH-000706
740,752,Non-Small Cell Lung Cancer,HOP-62,-5.111111111,0,0,740-752,Methotrexate,Thioguanine,ACH-000861
740,752,Non-Small Cell Lung Cancer,NCI-H23,-6.555555556,0,0,740-752,Methotrexate,Thioguanine,ACH-000900
740,752,Non-Small Cell Lung Cancer,NCI-H460,-5.333333333,0,0,740-752,Methotrexate,Thioguanine,ACH-000463
740,752,Non-Small Cell Lung Cancer,NCI-H522,-8.777777778,0,0,740-752,Methotrexate,Thioguanine,ACH-000343
740,752,Ovarian Cancer,IGROV1,-4.777777778,0,0,740-752,Methotrexate,Thioguanine,ACH-000966
740,752,Ovarian Cancer,OVCAR-3,-0.777777778,0,0,740-752,Methotrexate,Thioguanine,ACH-000001
740,752,Ovarian Cancer,OVCAR-4,-9.111111111,0,0,740-752,Methotrexate,Thioguanine,ACH-000617
740,752,Ovarian Cancer,OVCAR-8,-3.777777778,0,0,740-752,Methotrexate,Thioguanine,ACH-000696
740,752,Ovarian Cancer,SK-OV-3,-5.777777778,0,0,740-752,Methotrexate,Thioguanine,ACH-000811
740,752,Prostate Cancer,PC-3,-4.888888889,0,0,740-752,Methotrexate,Thioguanine,ACH-000090
740,752,Renal Cancer,786-0,-8.888888889,0,0,740-752,Methotrexate,Thioguanine,ACH-000649
740,752,Renal Cancer,A-498,0.222222222,0,0,740-752,Methotrexate,Thioguanine,ACH-000555
740,752,Renal Cancer,ACHN,-1.777777778,0,0,740-752,Methotrexate,Thioguanine,ACH-000046
740,752,Renal Cancer,CAKI-1,-7.111111111,0,0,740-752,Methotrexate,Thioguanine,ACH-000433
740,755,Breast Cancer,BT-549,-1.111111111,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000288
740,755,Breast Cancer,HS 578T,0.222222222,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000148
740,755,Breast Cancer,MCF7,-1.888888889,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000019
740,755,Breast Cancer,MDA-MB-231,-12,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000768
740,755,Breast Cancer,MDA-MB-468,0.888888889,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000849
740,755,Breast Cancer,T-47D,-6.333333333,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000147
740,755,CNS Cancer,SF-268,2.111111111,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000655
740,755,CNS Cancer,SF-295,-3.444444444,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000376
740,755,CNS Cancer,U251,-2.444444444,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000232
740,755,Colon Cancer,HCT 116,-3.333333333,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000971
740,755,Colon Cancer,HCT-15,6.333333333,0,1,740-755,Methotrexate,Mercaptopurine,ACH-000997
740,755,Colon Cancer,KM12,-3.777777778,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000969
740,755,Colon Cancer,SW-620,1.666666667,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000651
740,755,Leukemia,HL-60(TB),-5.111111111,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000002
740,755,Leukemia,K-562,-2.333333333,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000551
740,755,Leukemia,RPMI-8226,3.111111111,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000817
740,755,Melanoma,LOX IMVI,-4,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000750
740,755,Melanoma,SK-MEL-2,-13.77777778,0,0,740-755,Methotrexate,Mercaptopurine,ACH-001190
740,755,Melanoma,SK-MEL-28,1.444444444,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000615
740,755,Melanoma,SK-MEL-5,-3.444444444,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000730
740,755,Melanoma,UACC-257,-1.666666667,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000579
740,755,Melanoma,UACC-62,1.333333333,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000425
740,755,Non-Small Cell Lung Cancer,A549,-1.222222222,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000681
740,755,Non-Small Cell Lung Cancer,HOP-62,-7.222222222,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000861
740,755,Non-Small Cell Lung Cancer,NCI-H23,-4.555555556,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000900
740,755,Non-Small Cell Lung Cancer,NCI-H460,13.88888889,1,1,740-755,Methotrexate,Mercaptopurine,ACH-000463
740,755,Non-Small Cell Lung Cancer,NCI-H522,-3.222222222,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000343
740,755,Ovarian Cancer,IGROV1,-5.222222222,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000966
740,755,Ovarian Cancer,OVCAR-3,-3.777777778,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000001
740,755,Ovarian Cancer,OVCAR-4,-1.222222222,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000617
740,755,Ovarian Cancer,OVCAR-8,9,0,1,740-755,Methotrexate,Mercaptopurine,ACH-000696
740,755,Ovarian Cancer,SK-OV-3,-1.888888889,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000811
740,755,Prostate Cancer,PC-3,-0.777777778,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000090
740,755,Renal Cancer,786-0,-1.888888889,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000649
740,755,Renal Cancer,A-498,-2.333333333,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000555
740,755,Renal Cancer,ACHN,-2,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000046
740,755,Renal Cancer,CAKI-1,-4.777777778,0,0,740-755,Methotrexate,Mercaptopurine,ACH-000433
740,1390,Breast Cancer,BT-549,-2.222222222,0,0,740-1390,Methotrexate,Allopurinol,ACH-000288
740,1390,Breast Cancer,HS 578T,-3.222222222,0,0,740-1390,Methotrexate,Allopurinol,ACH-000148
740,1390,Breast Cancer,MCF7,-1.666666667,0,0,740-1390,Methotrexate,Allopurinol,ACH-000019
740,1390,Breast Cancer,MDA-MB-231,-3.222222222,0,0,740-1390,Methotrexate,Allopurinol,ACH-000768
740,1390,Breast Cancer,MDA-MB-468,-1.444444444,0,0,740-1390,Methotrexate,Allopurinol,ACH-000849
740,1390,Breast Cancer,T-47D,-9.222222222,0,0,740-1390,Methotrexate,Allopurinol,ACH-000147
740,1390,CNS Cancer,SF-268,0.777777778,0,0,740-1390,Methotrexate,Allopurinol,ACH-000655
740,1390,CNS Cancer,SF-295,-1.888888889,0,0,740-1390,Methotrexate,Allopurinol,ACH-000376
740,1390,CNS Cancer,U251,-1.111111111,0,0,740-1390,Methotrexate,Allopurinol,ACH-000232
740,1390,Colon Cancer,HCT 116,-1.444444444,0,0,740-1390,Methotrexate,Allopurinol,ACH-000971
740,1390,Colon Cancer,HCT-15,-3.888888889,0,0,740-1390,Methotrexate,Allopurinol,ACH-000997
740,1390,Colon Cancer,KM12,-0.777777778,0,0,740-1390,Methotrexate,Allopurinol,ACH-000969
740,1390,Colon Cancer,SW-620,-1.333333333,0,0,740-1390,Methotrexate,Allopurinol,ACH-000651
740,1390,Leukemia,HL-60(TB),0.555555556,0,0,740-1390,Methotrexate,Allopurinol,ACH-000002
740,1390,Leukemia,K-562,-1.777777778,0,0,740-1390,Methotrexate,Allopurinol,ACH-000551
740,1390,Leukemia,RPMI-8226,-4.888888889,0,0,740-1390,Methotrexate,Allopurinol,ACH-000817
740,1390,Melanoma,LOX IMVI,-0.666666667,0,0,740-1390,Methotrexate,Allopurinol,ACH-000750
740,1390,Melanoma,SK-MEL-28,-5,0,0,740-1390,Methotrexate,Allopurinol,ACH-000615
740,1390,Melanoma,SK-MEL-5,1.222222222,0,0,740-1390,Methotrexate,Allopurinol,ACH-000730
740,1390,Melanoma,UACC-257,-2.777777778,0,0,740-1390,Methotrexate,Allopurinol,ACH-000579
740,1390,Melanoma,UACC-62,-3.222222222,0,0,740-1390,Methotrexate,Allopurinol,ACH-000425
740,1390,Non-Small Cell Lung Cancer,A549,0.333333333,0,0,740-1390,Methotrexate,Allopurinol,ACH-000681
740,1390,Non-Small Cell Lung Cancer,EKVX,-10.22222222,0,0,740-1390,Methotrexate,Allopurinol,ACH-000706
740,1390,Non-Small Cell Lung Cancer,HOP-62,-2.777777778,0,0,740-1390,Methotrexate,Allopurinol,ACH-000861
740,1390,Non-Small Cell Lung Cancer,NCI-H23,-8.222222222,0,0,740-1390,Methotrexate,Allopurinol,ACH-000900
740,1390,Non-Small Cell Lung Cancer,NCI-H460,-1.777777778,0,0,740-1390,Methotrexate,Allopurinol,ACH-000463
740,1390,Ovarian Cancer,IGROV1,-6.666666667,0,0,740-1390,Methotrexate,Allopurinol,ACH-000966
740,1390,Ovarian Cancer,OVCAR-3,0.555555556,0,0,740-1390,Methotrexate,Allopurinol,ACH-000001
740,1390,Ovarian Cancer,OVCAR-4,3.777777778,0,0,740-1390,Methotrexate,Allopurinol,ACH-000617
740,1390,Ovarian Cancer,OVCAR-8,-1.111111111,0,0,740-1390,Methotrexate,Allopurinol,ACH-000696
740,1390,Ovarian Cancer,SK-OV-3,-3.333333333,0,0,740-1390,Methotrexate,Allopurinol,ACH-000811
740,1390,Prostate Cancer,PC-3,-3.111111111,0,0,740-1390,Methotrexate,Allopurinol,ACH-000090
740,1390,Renal Cancer,786-0,-1.444444444,0,0,740-1390,Methotrexate,Allopurinol,ACH-000649
740,1390,Renal Cancer,A-498,-1,0,0,740-1390,Methotrexate,Allopurinol,ACH-000555
740,1390,Renal Cancer,ACHN,-1.777777778,0,0,740-1390,Methotrexate,Allopurinol,ACH-000046
740,1390,Renal Cancer,CAKI-1,-23.77777778,0,0,740-1390,Methotrexate,Allopurinol,ACH-000433
740,3053,Breast Cancer,BT-549,-9.333333333,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000288
740,3053,Breast Cancer,HS 578T,-6.333333333,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000148
740,3053,Breast Cancer,MCF7,-8.555555556,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000019
740,3053,Breast Cancer,MDA-MB-231,-0.111111111,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000768
740,3053,Breast Cancer,MDA-MB-468,-7,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000849
740,3053,Breast Cancer,T-47D,-6.888888889,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000147
740,3053,CNS Cancer,SF-295,-1.111111111,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000376
740,3053,CNS Cancer,U251,-3,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000232
740,3053,Colon Cancer,HCT 116,-5.666666667,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000971
740,3053,Colon Cancer,HCT-15,-3.666666667,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000997
740,3053,Colon Cancer,KM12,-8.777777778,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000969
740,3053,Colon Cancer,SW-620,5.111111111,0,1,740-3053,Methotrexate,Dactinomycin,ACH-000651
740,3053,Leukemia,HL-60(TB),6.666666667,0,1,740-3053,Methotrexate,Dactinomycin,ACH-000002
740,3053,Leukemia,K-562,-3,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000551
740,3053,Leukemia,RPMI-8226,-2.222222222,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000817
740,3053,Melanoma,LOX IMVI,-8.777777778,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000750
740,3053,Melanoma,SK-MEL-5,-1.222222222,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000730
740,3053,Melanoma,UACC-257,-5.111111111,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000579
740,3053,Melanoma,UACC-62,-10.77777778,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000425
740,3053,Non-Small Cell Lung Cancer,A549,-2.777777778,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000681
740,3053,Non-Small Cell Lung Cancer,EKVX,-5.666666667,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000706
740,3053,Non-Small Cell Lung Cancer,HOP-62,-5.333333333,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000861
740,3053,Non-Small Cell Lung Cancer,NCI-H23,-3,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000900
740,3053,Non-Small Cell Lung Cancer,NCI-H460,13,1,1,740-3053,Methotrexate,Dactinomycin,ACH-000463
740,3053,Ovarian Cancer,OVCAR-8,-6.111111111,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000696
740,3053,Prostate Cancer,PC-3,-0.777777778,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000090
740,3053,Renal Cancer,786-0,-7.222222222,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000649
740,3053,Renal Cancer,A-498,-4.666666667,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000555
740,3053,Renal Cancer,ACHN,-7.444444444,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000046
740,3053,Renal Cancer,CAKI-1,-9.222222222,0,0,740-3053,Methotrexate,Dactinomycin,ACH-000433
740,3088,Breast Cancer,BT-549,-3.333333333,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000288
740,3088,Breast Cancer,HS 578T,-3.333333333,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000148
740,3088,Breast Cancer,MCF7,-5.666666667,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000019
740,3088,Breast Cancer,MDA-MB-231,5.444444444,0,1,740-3088,Methotrexate,Chlorambucil,ACH-000768
740,3088,Breast Cancer,MDA-MB-468,1,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000849
740,3088,Breast Cancer,T-47D,-3.666666667,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000147
740,3088,CNS Cancer,SF-268,-4.777777778,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000655
740,3088,CNS Cancer,SF-295,-2.555555556,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000376
740,3088,CNS Cancer,U251,-4.111111111,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000232
740,3088,Colon Cancer,HCT 116,-4.111111111,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000971
740,3088,Colon Cancer,HCT-15,-8.666666667,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000997
740,3088,Colon Cancer,KM12,-17.11111111,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000969
740,3088,Colon Cancer,SW-620,-4.444444444,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000651
740,3088,Leukemia,HL-60(TB),-0.111111111,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000002
740,3088,Leukemia,K-562,-7.555555556,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000551
740,3088,Leukemia,RPMI-8226,-3.444444444,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000817
740,3088,Melanoma,LOX IMVI,-9,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000750
740,3088,Melanoma,SK-MEL-2,-7.222222222,0,0,740-3088,Methotrexate,Chlorambucil,ACH-001190
740,3088,Melanoma,SK-MEL-28,-6.111111111,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000615
740,3088,Melanoma,SK-MEL-5,-3.111111111,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000730
740,3088,Melanoma,UACC-257,-6.222222222,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000579
740,3088,Melanoma,UACC-62,-13.55555556,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000425
740,3088,Non-Small Cell Lung Cancer,A549,-6.333333333,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000681
740,3088,Non-Small Cell Lung Cancer,EKVX,-4.666666667,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000706
740,3088,Non-Small Cell Lung Cancer,HOP-62,-5,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000861
740,3088,Non-Small Cell Lung Cancer,NCI-H23,-2.444444444,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000900
740,3088,Non-Small Cell Lung Cancer,NCI-H460,-5.444444444,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000463
740,3088,Ovarian Cancer,IGROV1,-9.222222222,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000966
740,3088,Ovarian Cancer,OVCAR-3,-6,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000001
740,3088,Ovarian Cancer,OVCAR-8,-2.666666667,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000696
740,3088,Ovarian Cancer,SK-OV-3,-4.888888889,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000811
740,3088,Prostate Cancer,PC-3,-16,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000090
740,3088,Renal Cancer,786-0,-4.888888889,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000649
740,3088,Renal Cancer,A-498,-4.333333333,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000555
740,3088,Renal Cancer,ACHN,-0.888888889,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000046
740,3088,Renal Cancer,CAKI-1,-7.111111111,0,0,740-3088,Methotrexate,Chlorambucil,ACH-000433
740,6396,Breast Cancer,BT-549,-7.222222222,0,0,740-6396,Methotrexate,Thiotepa,ACH-000288
740,6396,Breast Cancer,HS 578T,-3.111111111,0,0,740-6396,Methotrexate,Thiotepa,ACH-000148
740,6396,Breast Cancer,MCF7,-3,0,0,740-6396,Methotrexate,Thiotepa,ACH-000019
740,6396,Breast Cancer,MDA-MB-231,-17.11111111,0,0,740-6396,Methotrexate,Thiotepa,ACH-000768
740,6396,Breast Cancer,MDA-MB-468,-10.11111111,0,0,740-6396,Methotrexate,Thiotepa,ACH-000849
740,6396,CNS Cancer,SF-268,-12.44444444,0,0,740-6396,Methotrexate,Thiotepa,ACH-000655
740,6396,CNS Cancer,U251,-10.44444444,0,0,740-6396,Methotrexate,Thiotepa,ACH-000232
740,6396,Colon Cancer,HCT 116,-13.22222222,0,0,740-6396,Methotrexate,Thiotepa,ACH-000971
740,6396,Colon Cancer,HCT-15,-13.33333333,0,0,740-6396,Methotrexate,Thiotepa,ACH-000997
740,6396,Colon Cancer,KM12,-13.33333333,0,0,740-6396,Methotrexate,Thiotepa,ACH-000969
740,6396,Colon Cancer,SW-620,-5.666666667,0,0,740-6396,Methotrexate,Thiotepa,ACH-000651
740,6396,Leukemia,HL-60(TB),2.666666667,0,0,740-6396,Methotrexate,Thiotepa,ACH-000002
740,6396,Leukemia,K-562,-10.55555556,0,0,740-6396,Methotrexate,Thiotepa,ACH-000551
740,6396,Leukemia,RPMI-8226,-6.222222222,0,0,740-6396,Methotrexate,Thiotepa,ACH-000817
740,6396,Melanoma,LOX IMVI,-7.444444444,0,0,740-6396,Methotrexate,Thiotepa,ACH-000750
740,6396,Melanoma,SK-MEL-28,-18.33333333,0,0,740-6396,Methotrexate,Thiotepa,ACH-000615
740,6396,Melanoma,SK-MEL-5,-3.333333333,0,0,740-6396,Methotrexate,Thiotepa,ACH-000730
740,6396,Melanoma,UACC-257,-3.222222222,0,0,740-6396,Methotrexate,Thiotepa,ACH-000579
740,6396,Melanoma,UACC-62,-5.444444444,0,0,740-6396,Methotrexate,Thiotepa,ACH-000425
740,6396,Non-Small Cell Lung Cancer,A549,-7.666666667,0,0,740-6396,Methotrexate,Thiotepa,ACH-000681
740,6396,Non-Small Cell Lung Cancer,HOP-62,2.444444444,0,0,740-6396,Methotrexate,Thiotepa,ACH-000861
740,6396,Non-Small Cell Lung Cancer,NCI-H23,2.222222222,0,0,740-6396,Methotrexate,Thiotepa,ACH-000900
740,6396,Non-Small Cell Lung Cancer,NCI-H460,-4.333333333,0,0,740-6396,Methotrexate,Thiotepa,ACH-000463
740,6396,Non-Small Cell Lung Cancer,NCI-H522,-6,0,0,740-6396,Methotrexate,Thiotepa,ACH-000343
740,6396,Ovarian Cancer,IGROV1,-6.888888889,0,0,740-6396,Methotrexate,Thiotepa,ACH-000966
740,6396,Ovarian Cancer,OVCAR-3,-6.333333333,0,0,740-6396,Methotrexate,Thiotepa,ACH-000001
740,6396,Ovarian Cancer,OVCAR-4,-7.888888889,0,0,740-6396,Methotrexate,Thiotepa,ACH-000617
740,6396,Ovarian Cancer,SK-OV-3,-4.666666667,0,0,740-6396,Methotrexate,Thiotepa,ACH-000811
740,6396,Prostate Cancer,PC-3,-5.666666667,0,0,740-6396,Methotrexate,Thiotepa,ACH-000090
740,6396,Renal Cancer,A-498,4.555555556,0,1,740-6396,Methotrexate,Thiotepa,ACH-000555
740,6396,Renal Cancer,ACHN,0.777777778,0,0,740-6396,Methotrexate,Thiotepa,ACH-000046
740,6396,Renal Cancer,CAKI-1,-6.777777778,0,0,740-6396,Methotrexate,Thiotepa,ACH-000433
740,8806,Breast Cancer,BT-549,-1.444444444,0,0,740-8806,Methotrexate,Melphalan,ACH-000288
740,8806,Breast Cancer,HS 578T,-2.777777778,0,0,740-8806,Methotrexate,Melphalan,ACH-000148
740,8806,Breast Cancer,MCF7,-4,0,0,740-8806,Methotrexate,Melphalan,ACH-000019
740,8806,Breast Cancer,MDA-MB-231,0.222222222,0,0,740-8806,Methotrexate,Melphalan,ACH-000768
